ST_AGV_START_X,ST_AGV_START_Y,ST_AGV_START_TIME,ACT_TASK_DEST_X,ACT_TASK_DEST_Y,ACT_TASK_END_TIME,REWARD,TENANT_ID,INFO_TASK_START_X,INFO_TASK_START_Y
384.0,8.0,1.1649074729802975,163.63792376545254,28.69230359691056,1.9052883790500843,21.690902055796755,0,252.44151133044159,29.519204765074534
815.0,82.0,1.4826070099214383,671.5683741168027,178.93706659707652,2.06043638460818,26.630427607137225,1,728.3148752309172,145.8347653725286
778.0,614.0,2.0212841789944154,814.5242207145666,662.2521698027424,2.3786267108739123,51.76461677565677,4,760.3014277850231,663.9094679550287
163.63792376545254,28.69230359691056,5.919316607251059,221.57684709733775,33.47272388013746,6.500081533869635,24.76725774626265,0,278.8477767614066,43.263625438457765
303.0,870.0,9.618129421520752,194.6903383467312,693.1696520832423,10.32183882159594,417.2798907474511,2,302.4956633303075,872.1305399186597
671.5683741168027,178.93706659707652,11.951692210363353,674.8766879583247,146.5483897608494,12.31158889594957,45.24698331035092,1,721.4276938476191,143.2708787169182
814.5242207145666,662.2521698027424,13.980697206091024,807.7549381362334,665.3191796701382,14.163364620202005,83.7886478939284,4,783.7836488897486,664.2337444471037
153.0,960.0,13.150343033194533,227.6321048434967,619.3099408335727,14.737665986179998,23.35121931838357,2,276.16757015152393,968.6786350888707
807.7549381362334,665.3191796701382,20.900472149320258,757.3992272596065,663.9822378493805,21.068415596244307,124.45377396574601,4,788.6749272572799,664.3357993307977
221.57684709733775,33.47272388013746,21.413830744657584,165.92520013390012,26.630261983163287,21.612646001367573,106.32109362923549,0,199.51953977214967,40.71683009576999
165.92520013390012,26.630261983163287,25.417699510399757,220.82868926565232,27.183383517589533,25.93253347777814,27.570413478116564,0,267.9811959473934,45.64516608159566
757.3992272596065,663.9822378493805,26.72162051608781,754.035985728531,662.065693384756,26.757852315738322,243.86150942938224,4,750.5005089145324,661.5889493010696
220.82868926565232,27.183383517589533,28.016620815171795,225.00786752802367,39.7027004955922,28.096548475551028,186.81242296859907,0,231.7827890944789,28.702174841065403
225.00786752802367,39.7027004955922,29.936429188065947,204.75336647589182,34.4117112132827,30.318390889662762,57.83159338394119,0,271.41873786176797,46.28101303097591
875.0,603.0,33.4081361777651,893.7784547881322,919.3994812788044,34.805899825811714,48.608409379904494,4,908.2884017952636,557.0785278790285
674.8766879583247,146.5483897608494,35.47406838672115,653.7769713672369,146.02574886980554,35.70938086119789,64.03297735663594,1,641.7587564163867,172.13543761589364
204.75336647589182,34.4117112132827,47.3067153498579,271.1253691062933,44.63620958237263,47.56014831634937,212.4405798548849,0,204.22641845859494,43.51807358834998
754.035985728531,662.065693384756,47.833605072084964,753.7570714647684,663.1603253016024,47.84810102099894,388.83838787327073,4,753.9681099692081,664.7801325052147
271.1253691062933,44.63620958237263,56.14140548693076,228.7825745590913,36.14319099949341,56.30834327039997,89.23456723047639,0,248.34416842622645,27.313425058500975
653.7769713672369,146.02574886980554,57.105500724353895,723.7804434073317,157.16939289857606,57.4308399860952,46.39042605527524,1,698.5366266719599,185.48338480941925
870.0,21.0,61.241906658589784,832.735221776185,141.6933376313365,61.75462538789036,98.53730686603878,1,894.1634022418139,28.974608762044884
228.7825745590913,36.14319099949341,73.90091074985318,163.07419091093044,43.42378594520348,74.13960326840014,77.51119494538534,0,196.67692466555687,25.886841891175127
723.7804434073317,157.16939289857606,84.21698546669057,711.249578798478,167.59270421771546,84.43258660205124,78.17517906581105,1,694.5050962486423,141.14228593442147
877.0,49.0,83.32240129241961,953.3444878670086,435.81814574372885,84.84901407353522,74.72071226191535,1,892.3925203434583,17.400025544117625
599.0,231.0,91.15134475247308,625.646261079671,154.4518295763852,91.50738844426894,30.94117786451717,1,618.8949185539715,141.21972742176519
711.249578798478,167.59270421771546,92.36177841769336,678.7452223086023,141.2028081081916,92.501981014118,99.5756456218443,1,693.0437177215476,150.2734833906704
678.7452223086023,141.2028081081916,97.08760009820864,652.4322342812405,158.1191635000572,97.39600837405361,69.62499208493995,1,705.9968350211276,167.81189553185666
753.7570714647684,663.1603253016024,105.10706470119976,767.7275912519993,665.4673835364146,105.40952594438366,52.29042331322049,4,806.0924638051525,665.1149968084939
246.0,847.0,106.44092594271957,634.0454397096129,886.5295678740267,107.8438663493114,27.30909339925324,3,333.41264536214936,789.0924029507527
625.646261079671,154.4518295763852,111.33402580306624,689.7238804474321,157.05347145283162,111.58974900679306,175.12762296100124,1,625.8438164374747,166.58058518684837
519.0,323.0,117.98995210071116,527.8496347573841,131.0816625715692,118.63198778204303,249.97384038455417,1,516.7782432867887,316.3606190209055
163.07419091093044,43.42378594520348,121.54076209760086,281.9378154966705,43.717727115686145,121.93706021405639,44.10305493393724,0,226.08150371377013,44.80721812218894
767.7275912519993,665.4673835364146,123.22240285508549,760.8459309513321,663.3530217364012,123.26765149101163,200.61968654105044,4,757.7758263273978,665.2727993548173
421.0,348.0,130.16584417744554,449.0338683044137,42.83561480797088,131.3100854331629,120.5953857077829,0,430.0902848047814,365.6761111128769
785.0,749.0,136.038075300772,695.8922660775235,828.521606592524,137.4624688323444,18.36713759113393,4,939.5474979210717,714.5746479852589
652.4322342812405,158.1191635000572,144.295400093197,721.0924172506712,148.79137206215495,144.77339549318097,69.96670126952371,1,615.5730638024406,149.39508457799485
760.8459309513321,663.3530217364012,147.75328343945554,745.9958236319892,665.0939671647664,147.81422382245105,144.86618118377925,4,745.1523355863444,662.6627849314938
